"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.60726185941059e-223,0.759968998069326,0.493,0.32,1.38729261848712e-218,"0","ADAR"
1.12871951836921e-221,0.923887657258558,0.397,0.234,3.39868734176152e-217,"0","PCGF5"
2.88900974889042e-221,0.72206777736809,0.524,0.345,8.69909725488395e-217,"0","ARHGAP29"
3.55394104522757e-221,0.728279172551537,0.49,0.321,1.07012718812847e-216,"0","P2RY14"
7.24949394700865e-221,1.00297753566718,0.464,0.288,2.18289512238377e-216,"0","DIO3"
1.08183652730479e-219,1.31733837239885,0.277,0.134,3.25751796736746e-215,"0","FJX1"
6.0411171647295e-216,0.479648145634125,0.67,0.491,1.8190407894717e-211,"0","PHLDA1"
3.58886141732563e-214,0.803841155374471,0.465,0.3,1.08064206137092e-209,"0","COL4A5"
6.03893768057992e-214,0.513038736603312,0.695,0.531,1.81838452499942e-209,"0","TSC22D1"
2.04660382049215e-212,1.09345610948173,0.324,0.175,6.16252876388393e-208,"0","SHFL"
2.34033654735529e-211,0.765077330961083,0.437,0.27,7.0469873777415e-207,"0","CMIP"
2.03475771444074e-210,0.971099331597267,0.367,0.213,6.12685895395252e-206,"0","LMO2"
2.81144643536152e-210,0.672637185731754,0.467,0.293,8.46554636151707e-206,"0","FYN"
6.69345295247326e-210,1.00152037462992,0.386,0.229,2.01546561851922e-205,"0","STAT2"
1.7556350454622e-209,0.650838439578507,0.598,0.444,5.28639268539122e-205,"0","ZRANB2"
5.85837041172106e-209,0.983123021148415,0.301,0.154,1.76401391467333e-204,"0","KANSL1L"
3.48638900009293e-208,0.693011320618685,0.411,0.248,1.04978659181798e-203,"0","GNG12-AS1"
1.11448774352361e-207,0.926461806045997,0.415,0.254,3.35583404452395e-203,"0","TPBG"
5.79910801022163e-206,0.971677605235799,0.354,0.202,1.74616941295784e-201,"0","PLEKHG1"
6.79374416075574e-206,0.521595962446956,0.736,0.571,2.04566430424516e-201,"0","ZFYVE16"
3.84961627603317e-205,0.869999816260313,0.436,0.275,1.15915795687635e-200,"0","EML4"
2.25536763447233e-202,1.10121179715478,0.261,0.126,6.79113748415963e-198,"0","USP18"
4.70549537363055e-201,0.315228822288624,0.907,0.786,1.4168717119539e-196,"0","NCL"
1.74590142688458e-198,0.986766973933069,0.275,0.136,5.25708378649215e-194,"0","NT5E"
9.11987816570049e-197,0.900829770826862,0.364,0.208,2.74608651447407e-192,"0","EMX2OS"
9.95387282114753e-196,0.559909870082864,0.588,0.429,2.99721064517573e-191,"0","NFIB"
1.89862807695139e-195,0.677927326610355,0.493,0.327,5.71695900250833e-191,"0","NFIX"
4.93297777963335e-195,0.473115706024254,0.74,0.598,1.4853689392254e-190,"0","SRRM2"
1.35096584848666e-194,0.330831952994263,0.946,0.825,4.06789326637818e-190,"0","TMBIM6"
1.4649063813524e-193,0.809232869084446,0.491,0.334,4.41097960489022e-189,"0","MSX2"
1.37681116785655e-191,1.05028682918668,0.274,0.138,4.14571610753286e-187,"0","SLC15A3"
6.17601891962469e-191,0.82361745220778,0.38,0.228,1.85966105688819e-186,"0","LMX1A"
1.62751004417257e-190,0.920666809248428,0.385,0.233,4.90059549400802e-186,"0","MRC2"
5.61341570998116e-190,0.56457985521275,0.566,0.413,1.69025560443243e-185,"0","TCEAL2"
1.6876972731931e-189,0.872255906514268,0.401,0.249,5.08182525931174e-185,"0","SEMA3B"
1.73083334124386e-189,0.371244858367529,0.937,0.806,5.2117122738194e-185,"0","HSP90B1"
4.61566731393542e-189,0.651042193905496,0.431,0.271,1.38982358489909e-184,"0","NR2F1-AS1"
1.77831778803989e-188,0.624234163963529,0.54,0.377,5.35469269156693e-184,"0","SASH1"
4.07390815866375e-188,0.955609562800178,0.271,0.136,1.22669448565524e-183,"0","AL513164.1"
1.69426722612048e-187,0.84177993493632,0.48,0.326,5.10160804457137e-183,"0","DUSP1"
5.72583293787186e-187,0.618115656679738,0.598,0.454,1.7241055559226e-182,"0","DKK3"
8.94941204588699e-183,0.771030921374025,0.412,0.259,2.69475746113703e-178,"0","IRF7"
1.11918498064086e-182,0.336734574144667,0.789,0.647,3.36997789520771e-178,"0","HMGN1"
2.1914269945686e-182,0.386722784728571,0.799,0.668,6.59860582334552e-178,"0","SLC35F1"
2.33491326081706e-181,0.494932859493101,0.789,0.626,7.03065731964625e-177,"0","CCN2"
1.33969421573881e-180,1.23384175545211,0.25,0.125,4.03395325301113e-176,"0","HPD"
1.82999064258093e-180,0.400193622715657,0.769,0.641,5.51028482387544e-176,"0","TCEAL4"
2.42560533461459e-180,0.921056131405653,0.276,0.142,7.30374022305799e-176,"0","KCNMB2-AS1"
3.46956639881464e-180,0.591757689327719,0.556,0.404,1.04472113834708e-175,"0","GOLGA4"
9.96595369233393e-180,0.529848377230677,0.626,0.475,3.00084831629867e-175,"0","MAML2"
3.01403435127486e-178,1.10542989383889,0.26,0.134,9.07555883512373e-174,"0","MAST4"
1.4705716130805e-174,0.580109103873988,0.575,0.418,4.4280381841467e-170,"0","CPXM2"
1.52221563674964e-174,0.653564908289224,0.533,0.388,4.58354350381683e-170,"0","PNRC1"
5.41000188907936e-174,0.773008369797818,0.424,0.276,1.62900566882069e-169,"0","KAT6B"
1.74955945092251e-173,0.418722212938309,0.789,0.651,5.26809846267278e-169,"0","APLP2"
2.22316835402004e-173,0.787347735715851,0.45,0.303,6.69418223078975e-169,"0","COL6A1"
9.27045061256897e-173,0.897038549080988,0.4,0.259,2.79142538395064e-168,"0","GOLIM4"
2.74646840688349e-171,0.915166776999446,0.369,0.223,8.26989101996686e-167,"0","SGCD"
2.2454925128529e-170,0.268362138818176,0.848,0.733,6.76140250545136e-166,"0","CSTB"
6.32661895993772e-169,0.52467851767619,0.636,0.472,1.90500823502685e-164,"0","CP"
9.88102066616398e-169,0.40278459621895,0.69,0.538,2.97527413278864e-164,"0","CALD1"
6.32910292773094e-168,0.587138932586471,0.389,0.242,1.90575618256906e-163,"0","PLCG2"
3.43686393438838e-165,1.25925457893591,0.27,0.148,1.03487409928368e-160,"0","NIM1K"
3.91892806005821e-164,0.671618232663019,0.48,0.335,1.18002842816413e-159,"0","MED12L"
2.78700247551131e-163,0.743160694028016,0.42,0.273,8.3919431540121e-159,"0","LEF1"
1.30011480955851e-162,0.947730302712221,0.45,0.311,3.91477570306162e-158,"0","MT3"
5.67036324953605e-162,0.98751375042029,0.294,0.164,1.7074030780678e-157,"0","CPXM1"
3.49940961134415e-161,1.09540705545203,0.286,0.162,1.05370722807184e-156,"0","RAB3B"
6.76928078348641e-161,0.740084799147341,0.422,0.283,2.03829813671559e-156,"0","SELENOP"
1.05663224864219e-159,0.561024282280326,0.478,0.326,3.1816253638865e-155,"0","FARP1"
1.76115094692394e-159,0.87751533411559,0.365,0.23,5.30300161628267e-155,"0","PNPT1"
1.8896782172941e-159,0.728404091176305,0.418,0.277,5.69001008009425e-155,"0","NCALD"
2.12122544271264e-156,0.56304363997934,0.616,0.491,6.38722193055204e-152,"0","TMEM205"
7.41413393205087e-156,0.972698326756756,0.299,0.173,2.23246986827984e-151,"0","LTBP1"
1.09886775115021e-155,0.489012139263109,0.644,0.519,3.30880068548839e-151,"0","TKT"
4.57070304301141e-155,0.979500068615144,0.31,0.184,1.37628439328116e-150,"0","TAPBP"
1.97592981314126e-152,0.673837100645656,0.458,0.323,5.94972226034965e-148,"0","DENND5B"
3.93338566878469e-152,0.805565928378669,0.361,0.229,1.18438175872776e-147,"0","SUMF1"
7.28343754361715e-152,1.05254296923589,0.258,0.14,2.19311587875856e-147,"0","EFR3B"
1.3979227973786e-151,0.4043128639836,0.759,0.638,4.20928533518671e-147,"0","COPRS"
1.50347993174404e-151,0.642313655131891,0.513,0.381,4.52712842247449e-147,"0","TMEM165"
3.04351412914551e-151,0.61290901401324,0.508,0.37,9.16432539427004e-147,"0","TM9SF3"
2.01212526626354e-150,0.410769590079353,0.697,0.578,6.05871038924615e-146,"0","TCF25"
1.39966034679368e-149,0.378312508396408,0.769,0.65,4.21451727023044e-145,"0","CANX"
1.47450633501988e-149,0.698790322859153,0.41,0.273,4.43988602537838e-145,"0","SMCHD1"
1.9710489359492e-149,0.966270400998141,0.262,0.143,5.93502545103664e-145,"0","RHOB"
2.66405974950122e-149,0.888860389939848,0.301,0.173,8.02175031172311e-145,"0","NKAIN3"
2.32112812840999e-148,0.891169417383127,0.319,0.194,6.98914890745532e-144,"0","PEAK1"
1.06598061308752e-147,0.345706895609961,0.485,0.324,3.20977422406782e-143,"0","NUPR1"
